fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,quality
0.46022344194739,0.3370232138919197,0.6296660381850052,0.9629629629629629,0.5335389123242933,0.8333333333333333,0.8540254058015829,0.9499044520073671,0.09027777777777775,0.3333333333333333,0.06658565949329134,1,6
0.16666666666666666,0.4595179720649337,0.5555555555555556,0.14539756308384266,0.6079686488872138,0.239468858100063,0.6882020825681481,0.5172260086865567,0.6384714129335989,0.48252707112350024,0.15527369255848528,1,6
0.7967468027527367,0.37906185790649716,0.7526780048001479,0.7653086079960582,0.6254396799977666,0.5777777777777778,0.3582573518607111,0.6250000000000028,0.5265618971777889,0.2962962962962963,0.3086309812989234,1,6
0.5559031421062596,0.16949267553905015,0.47628667247809126,0.830496034335677,0.7099413751174415,0.8555555555555555,0.8915855978192881,0.6750995084077986,0.35451154545221675,0.16555186032261862,0.2592262772301037,1,6
0.138888888888889,0.5273094435660628,0.12279076438707574,0.7703821301262852,0.5335389123242933,0.5777777777777778,0.7097374984696294,0.6051587301587352,0.332058272180494,0.4085068569441881,0.18203166843264118,1,6
0.7967468027527367,0.13858287953505413,0.8171313026169873,0.11222053760323164,0.511522269093031,0.5224395929156007,0.672050520642037,0.49806123525205725,0.421961219696388,0.3333333333333333,0.5433422038143203,1,6
0.7967468027527367,0.3370232138919197,0.7800772041958453,0.1053296250078698,0.23952353143885186,0.18539358918092724,0.21581603708227937,0.1860982091950633,0.0868055555555556,0.7000036073606486,0.7418813286121826,1,5
0.8657188259840277,0.16949267553905015,0.7526780048001479,0.6033694303973417,0.3020633993685063,0.29120876573358534,0.45446462968448587,0.5853174603174678,0.24418943221387696,0.6153633476265646,0.20878964430679708,1,5
0.7633805647149189,0.08474500869623725,0.6667089010546137,0.07435032353496691,0.4230600395741863,0.2739621298557446,0.26030493358772533,0.316467981964132,0.332058272180494,0.8396328374816754,0.48946024766431184,1,5
0.26322888042665965,0.06779600695698978,0.7526780048001479,0.11222053760323164,0.511522269093031,0.8666666666666666,0.7474244762972219,0.23261391872386333,0.9208087457248233,0.5854329409019315,0.8337019599219516,1,7
0.8243356120452532,0.7392329622349784,0.9205256800825694,0.9529248875043267,0.4230600395741863,0.7888888888888888,0.8611639745762818,0.9350061477716419,0.08333333333333329,0.8895653995516801,0.20878964430679708,1,5
0.26322888042665965,0.07627050782661352,0.6953652689697918,0.11222053760323164,0.2106688370623177,0.5224395929156007,0.48816160497484246,0.25357743453392756,0.4991894129333411,0.6740788838882722,0.629131438443737,1,7
0.16666666666666666,0.7982115603525491,0.029629629629629638,0.06195860294580578,0.5555555555555556,0.5777777777777778,0.3737754918843247,0.39911076395192746,0.47181692868889336,0.09579378076173764,0.18203166843264118,1,6
0.634952964029869,0.592954738984619,0.7986042534064163,0.06195860294580578,0.23952353143885186,0.29120876573358534,0.8575946901889324,0.28502270824903564,0.20634920634920662,0.6153633476265646,0.6083863351586534,1,6
0.2222222222222222,0.49341370781549826,0.10370370370370371,0.7915674646335357,0.511522269093031,0.6666666666666666,0.6935859365435184,0.6646825396825486,0.421961219696388,0.5190089996768509,0.15527369255848528,1,5
0.138888888888889,0.8944406290759634,0.8912456674814107,0.07435032353496691,0.13307918220376513,0.5555555555555556,0.26030493358772533,0.07498213062841223,0.7131274998400952,0.13721667937281673,0.9029377252899187,1,8
0.19444444444444456,0.49341370781549826,0.6953652689697918,0.4766643336773606,0.3781966864537598,0.32570203748926696,0.39705270191974507,0.23261391872386333,0.3100910621888392,0.08842502839545013,0.5433422038143203,1,7
